Rank,Club,Country,Level,Elo,From,To
None,Ajaccio,FRA,1,1379.42541504,1967-07-02,1967-08-17
None,Ajaccio,FRA,1,1376.19482422,1967-08-18,1967-08-24
None,Ajaccio,FRA,1,1388.62182617,1967-08-25,1967-08-30
None,Ajaccio,FRA,1,1385.59338379,1967-08-31,1967-09-02
None,Ajaccio,FRA,1,1384.51867676,1967-09-03,1967-09-08
None,Ajaccio,FRA,1,1381.50048828,1967-09-09,1967-09-20
None,Ajaccio,FRA,1,1382.80773926,1967-09-21,1967-09-22
None,Ajaccio,FRA,1,1387.91296387,1967-09-23,1967-09-30
None,Ajaccio,FRA,1,1401.30883789,1967-10-01,1967-10-04
None,Ajaccio,FRA,1,1400.78088379,1967-10-05,1967-10-07
None,Ajaccio,FRA,1,1393.26245117,1967-10-08,1967-10-15
None,Ajaccio,FRA,1,1401.04125977,1967-10-16,1967-10-21
None,Ajaccio,FRA,1,1411.67810059,1967-10-22,1967-11-01
None,Ajaccio,FRA,1,1408.04455566,1967-11-02,1967-11-05
None,Ajaccio,FRA,1,1421.91174316,1967-11-06,1967-11-11
None,Ajaccio,FRA,1,1415.53918457,1967-11-12,1967-11-16
None,Ajaccio,FRA,1,1412.51818848,1967-11-17,1967-11-18
None,Ajaccio,FRA,1,1421.22070312,1967-11-19,1967-11-25
None,Ajaccio,FRA,1,1427.94836426,1967-11-26,1967-11-29
None,Ajaccio,FRA,1,1430.86535645,1967-11-30,1967-11-30
None,Ajaccio,FRA,1,1427.83752441,1967-12-01,1967-12-03
None,Ajaccio,FRA,1,1425.328125,1967-12-04,1967-12-09
None,Ajaccio,FRA,1,1434.54064941,1967-12-10,1967-12-13
None,Ajaccio,FRA,1,1446.92749023,1967-12-14,1967-12-17
None,Ajaccio,FRA,1,1452.01171875,1967-12-18,1968-01-07
None,Ajaccio,FRA,1,1465.65893555,1968-01-08,1968-01-21
None,Ajaccio,FRA,1,1460.96435547,1968-01-22,1968-01-28
None,Ajaccio,FRA,1,1471.0925293,1968-01-29,1968-02-03
None,Ajaccio,FRA,1,1461.41601562,1968-02-04,1968-02-17
