(27, 41, 30, 'gini', 'weighted', 'log2') -0.028074618736383568
(83, 43, 36, 'gini', 'weighted', 'log2') -0.028327886710239808
(41, 48, 17, 'gini', 'weighted', 'log2') -0.028393683637353798
(43, 28, 27, 'gini', 'weighted', 'sqrt') -0.028434948285247827
(38, 3, 22, 'entropy', 'weighted', 'sqrt') -0.028521952549768196
(44, 38, 29, 'gini', 'weighted', 'log2') -0.028527089572556657
(99, 43, 36, 'entropy', 'weighted', 'log2') -0.028542234332425174
(88, 8, 14, 'entropy', 'weighted', 'log2') -0.028566376496191485
(35, 42, 37, 'gini', 'weighted', 'sqrt') -0.028705466412836653
(125, 18, 16, 'entropy', 'weighted', 'log2') -0.028729597388465818
(117, 14, 13, 'gini', 'weighted', 'sqrt') -0.028836007614903448
(106, 49, 35, 'gini', 'weighted', 'log2') -0.02884353741496614
(106, 49, 39, 'gini', 'weighted', 'log2') -0.02884353741496614
(23, 25, 23, 'gini', 'weighted', 'log2') -0.028843852013057704
(49, 10, 21, 'gini', 'weighted', 'log2') -0.028935764833968435
(143, 44, 24, 'entropy', 'weighted', 'log2') -0.02908027210884368
(145, 31, 12, 'gini', 'weighted', 'log2') -0.029135164536306806
(73, 21, 40, 'entropy', 'weighted', 'log2') -0.029278911564625906
(98, 43, 31, 'gini', 'weighted', 'log2') -0.029303401360544375
(28, 45, 25, 'gini', 'weighted', 'sqrt') -0.029306499864019613
(30, 17, 27, 'gini', 'weighted', 'sqrt') -0.029497792494481243
(35, 12, 30, 'entropy', 'weighted', 'log2') -0.029564264181967746
(42, 35, 37, 'gini', 'weighted', 'log2') -0.029613289760348764
(86, 42, 32, 'entropy', 'weighted', 'log2') -0.02970084307859669
(147, 4, 38, 'gini', 'weighted', 'log2') -0.029785150938264882
(121, 30, 38, 'gini', 'weighted', 'log2') -0.03006537728139491
(143, 10, 37, 'gini', 'weighted', 'sqrt') -0.030130541202066943
(37, 36, 26, 'entropy', 'weighted', 'log2') -0.030291871249318234
(93, 39, 14, 'gini', 'weighted', 'log2') -0.030394343214577214
(41, 28, 30, 'entropy', 'weighted', 'sqrt') -0.030451454990481443
(140, 30, 25, 'gini', 'weighted', 'log2') -0.030637428493598632
(142, 46, 37, 'entropy', 'weighted', 'log2') -0.030802284471036338
(10, 12, 34, 'gini', 'weighted', 'log2') -0.031010899182561256
(130, 49, 30, 'gini', 'weighted', 'log2') -0.031068806091922852
(69, 23, 30, 'entropy', 'weighted', 'log2') -0.03109566639411299
(77, 46, 31, 'gini', 'weighted', 'log2') -0.031106880609192332
(110, 44, 27, 'gini', 'weighted', 'log2') -0.03116671199347295
(108, 30, 18, 'gini', 'weighted', 'sqrt') -0.03123064159292046
(33, 47, 12, 'gini', 'weighted', 'log2') -0.03135731807031901
(13, 5, 27, 'entropy', 'weighted', 'sqrt') -0.031493064998640186
(29, 24, 17, 'gini', 'weighted', 'sqrt') -0.0315301003344483
(12, 17, 11, 'entropy', 'weighted', 'sqrt') -0.03157737285830841
(118, 49, 21, 'gini', 'weighted', 'log2') -0.03162360620070719
(112, 22, 12, 'entropy', 'weighted', 'sqrt') -0.03171607288550449
(28, 38, 10, 'gini', 'weighted', 'log2') -0.031849333695947814
(106, 36, 28, 'entropy', 'weighted', 'log2') -0.03185477291270061
(20, 16, 38, 'gini', 'weighted', 'sqrt') -0.03186971926955574
(91, 17, 27, 'gini', 'weighted', 'log2') -0.031897631364007764
(13, 27, 24, 'entropy', 'weighted', 'sqrt') -0.03192820233886338
(67, 42, 31, 'entropy', 'weighted', 'log2') -0.032075061191188456
(120, 44, 37, 'gini', 'weighted', 'log2') -0.03220832200163181
(78, 43, 15, 'gini', 'weighted', 'log2') -0.03232298474945548
(91, 43, 15, 'entropy', 'weighted', 'log2') -0.0325394665215026
(48, 47, 31, 'gini', 'weighted', 'log2') -0.03262241566920577
(53, 37, 38, 'gini', 'weighted', 'log2') -0.032685792349726905
(44, 26, 35, 'gini', 'weighted', 'sqrt') -0.032793037802556525
(127, 30, 36, 'gini', 'weighted', 'log2') -0.032857532007627525
(22, 16, 19, 'gini', 'weighted', 'sqrt') -0.033154745716616855
(78, 40, 29, 'entropy', 'weighted', 'log2') -0.03319172113289774
(13, 34, 11, 'gini', 'weighted', 'sqrt') -0.033248633879781504
(122, 34, 20, 'entropy', 'weighted', 'log2') -0.03346721311475428
(24, 26, 13, 'gini', 'weighted', 'sqrt') -0.03395703018765298
(60, 44, None, 'entropy', 'weighted', 'log2') -0.03407457811649442
(43, 12, 40, 'entropy', 'weighted', 'log2') -0.03414680909339917
(108, 3, 25, 'entropy', 'weighted', 'log2') -0.03417099153236826
(140, 21, 38, 'entropy', 'weighted', 'log2') -0.03417211328976045
(21, 9, 19, 'gini', 'weighted', 'sqrt') -0.03419389978213506
(96, 45, 27, 'entropy', 'weighted', 'sqrt') -0.03422083220016334
(37, 46, 29, 'gini', 'weighted', 'sqrt') -0.034314900572051374
(115, 44, 12, 'gini', 'weighted', 'log2') -0.03446843399836032
(13, 37, 39, 'entropy', 'weighted', 'sqrt') -0.03467920353982314
(121, 49, 22, 'gini', 'weighted', 'log2') -0.034848979591836894
(118, 21, 10, 'gini', 'weighted', 'log2') -0.03485021786492394
(116, 49, 39, 'entropy', 'weighted', 'log2') -0.03485286103542254
(72, 40, 28, 'entropy', 'weighted', 'log2') -0.034993189866521515
(89, 42, 22, 'gini', 'weighted', 'log2') -0.0350149659863947
(133, 17, 36, 'gini', 'weighted', 'log2') -0.03505443658138283
(14, 24, 38, 'gini', 'weighted', 'sqrt') -0.03507747648035432
(10, 42, 26, 'entropy', 'weighted', 'log2') -0.0352164443234415
(149, 13, 33, 'entropy', 'weighted', 'sqrt') -0.03552267699115062
(99, 40, 12, 'gini', 'weighted', 'log2') -0.0356241501223825
(23, 33, 31, 'gini', 'weighted', 'sqrt') -0.03564744287268789
(58, 14, 40, 'entropy', 'weighted', 'log2') -0.03570884353741506
(95, 46, 13, 'entropy', 'weighted', 'log2') -0.035757823129251784
(31, 28, 31, 'entropy', 'weighted', 'sqrt') -0.03585418933623512
(113, 24, 36, 'gini', 'weighted', 'log2') -0.035971615720524194
(63, 40, 30, 'entropy', 'weighted', 'log2') -0.03603321535529551
(90, 28, 25, 'gini', 'weighted', 'log2') -0.0360430869920918
(39, 11, 39, 'gini', 'weighted', 'sqrt') -0.036092552026287104
(67, 48, 40, 'entropy', 'weighted', 'log2') -0.036129997280391644
(93, 47, 29, 'gini', 'weighted', 'log2') -0.03622790318194181
(55, 46, 16, 'gini', 'weighted', 'log2') -0.03636660320913794
(145, 49, 37, 'gini', 'weighted', 'log2') -0.03646994832744094
(81, 46, 26, 'gini', 'weighted', 'log2') -0.03652434049496879
(75, 40, None, 'gini', 'weighted', 'log2') -0.036602285092491964
